entry,numberOfJets,numberOfBJets,met,jetPtRec[0],jetPtRec[1],jetPtRec[2],jetPtRec[3],jetEtaRec[0],jetEtaRec[1],jetEtaRec[2],jetEtaRec[3],jetPhiRec[0],jetPhiRec[1],jetPhiRec[2],jetPhiRec[3],jetMass[0],jetMass[1],jetMass[2],jetMass[3]
1942,3,0,456.111,272.444,152.234,143.948,-1,-1.53295,-1.20961,0.0346175,0,-0.182837,0.139269,1.04127,0,19.672,14.6666,12.9679,0
1943,1,0,282.085,356.459,-1,-1,-1,-1.52676,0,0,0,1.03735,0,0,0,44.9677,0,0,0
1944,1,0,216.974,234.546,-1,-1,-1,1.2499,0,0,0,2.67785,0,0,0,29.1971,0,0,0
1945,3,0,232.647,121.814,81.4736,35.3624,-1,0.585707,0.829155,1.32476,0,-2.85381,2.71663,2.97619,0,19.2489,15.9873,6.23007,0
1946,2,0,360.369,342.378,35.1449,-1,-1,2.00181,0.174791,0,0,0.0186674,-1.92763,0,0,22.1277,6.74117,0,0
1947,2,0,185.71,109.856,105.095,-1,-1,-0.113734,-1.61986,0,0,-1.10181,-1.00978,0,0,14.7222,15.314,0,0
1948,1,0,357.61,362.649,-1,-1,-1,2.18549,0,0,0,-1.62253,0,0,0,19.4545,0,0,0
1949,2,0,454.47,590.65,96.9696,-1,-1,1.71703,-0.29712,0,0,0.599336,-2.81585,0,0,38.0232,11.3606,0,0
1950,1,0,198.369,242.1,-1,-1,-1,1.71527,0,0,0,-0.894179,0,0,0,23.3047,0,0,0
1951,4,0,330.468,175.154,131.891,70.4493,36.0604,1.99574,1.47969,0.494627,-0.0422617,0.203847,0.457374,0.651653,-1.64401,20.2886,14.2073,10.0556,8.20422
1952,3,0,236.229,204.713,63.3372,62.0052,-1,0.565374,0.0890913,2.23048,0,-2.47068,-2.17957,-0.178265,0,25.0895,8.33244,9.94919,0
1953,1,0,511.212,573.68,-1,-1,-1,-1.17137,0,0,0,2.56613,0,0,0,80.6219,0,0,0
1954,2,0,146.04,331.467,178.744,-1,-1,0.580631,0.784855,0,0,-1.78459,1.37159,0,0,48.502,25.3823,0,0
1955,3,0,136.666,216.92,76.9806,47.4156,-1,0.899758,2.04338,2.09976,0,2.43329,-0.808687,-0.214633,0,21.5336,8.06667,5.78119,0
